Source,Destination,Variable Transportation Cost
SP:0005:Vne,CZ:0014,4.26000
SP:0005:Vne,CZ:0015,4.26000
SP:0005:Vne,CZ:0016,4.26000
SP:0005:Vne,CZ:0017,4.26000
SP:0005:Vne,CZ:0018,4.26000
SP:0005:Vne,CZ:0019,4.26000
SP:0005:Vne,CZ:0020,4.26000
SP:0005:Vne,CZ:0021,4.26000
SP:0005:Vne,CZ:0022,4.26000
SP:0005:Vne,CZ:0023,4.26000
SP:0005:Vne,CZ:0024,4.26000
SP:0005:Vne,CZ:0025,4.26000
SP:0005:Vne,CZ:0026,4.26000
SP:0005:Vne,CZ:0027,4.26000
SP:0005:Vne,CZ:0028,4.26000
SP:0005:Vne,CZ:0029,4.26000
SP:0005:Vne,CZ:0030,4.26000
SP:0005:Vne,CZ:0031,4.26000
SP:0005:Vne,CZ:0032,4.26000
SP:0005:Vne,CZ:0033,4.26000
SP:0005:Vne,CZ:0034,4.26000
SP:0005:Vne,CZ:0035,4.26000
SP:0005:Vne,CZ:0036,4.26000
SP:0005:Vne,CZ:0037,4.26000
SP:0005:Vne,CZ:0038,4.26000
SP:0005:Vne,CZ:0039,4.26000
SP:0005:Vne,CZ:0040,4.26000
SP:0005:Vne,CZ:0041,4.26000
SP:0005:Vne,CZ:0042,4.26000
SP:0005:Vne,CZ:0043,4.26000
SP:0005:Vne,CZ:0044,4.26000
SP:0005:Vne,CZ:0045,4.26000
SP:0005:Vne,CZ:0046,4.26000
SP:0005:Vne,CZ:0047,4.26000
SP:0005:Vne,CZ:0048,4.26000
SP:0005:Vne,CZ:0049,4.26000
SP:0005:Vne,CZ:0050,4.26000
SP:0006:Vne,CZ:0001,6.55000
SP:0006:Vne,CZ:0002,6.55000
SP:0006:Vne,CZ:0003,6.55000
SP:0006:Vne,CZ:0004,6.55000
SP:0006:Vne,CZ:0005,6.55000
SP:0006:Vne,CZ:0006,6.55000
SP:0006:Vne,CZ:0007,6.55000
SP:0006:Vne,CZ:0008,6.55000
SP:0006:Vne,CZ:0009,6.55000
SP:0006:Vne,CZ:0010,6.55000
SP:0006:Vne,CZ:0011,6.55000
SP:0006:Vne,CZ:0012,6.55000
SP:0006:Vne,CZ:0013,6.55000
SP:0006:Vne,CZ:0014,6.55000
SP:0006:Vne,CZ:0015,6.55000
SP:0006:Vne,CZ:0016,6.55000
SP:0006:Vne,CZ:0017,6.55000
SP:0006:Vne,CZ:0018,6.55000
SP:0006:Vne,CZ:0019,6.55000
SP:0006:Vne,CZ:0020,6.55000
SP:0006:Vne,CZ:0021,6.55000
SP:0006:Vne,CZ:0022,6.55000
SP:0006:Vne,CZ:0023,6.55000
SP:0006:Vne,CZ:0024,6.55000
SP:0006:Vne,CZ:0025,6.55000
SP:0006:Vne,CZ:0026,6.55000
SP:0006:Vne,CZ:0027,6.55000
SP:0006:Vne,CZ:0028,6.55000
SP:0006:Vne,CZ:0029,6.55000
SP:0006:Vne,CZ:0030,6.55000
SP:0006:Vne,CZ:0031,6.55000
SP:0006:Vne,CZ:0032,6.55000
SP:0006:Vne,CZ:0033,6.55000
SP:0006:Vne,CZ:0034,6.55000
SP:0006:Vne,CZ:0035,6.55000
SP:0006:Vne,CZ:0036,6.55000
SP:0006:Vne,CZ:0037,6.55000
SP:0006:Vne,CZ:0038,6.55000
SP:0006:Vne,CZ:0039,6.55000
SP:0006:Vne,CZ:0040,6.55000
SP:0006:Vne,CZ:0041,6.55000
SP:0006:Vne,CZ:0042,6.55000
SP:0006:Vne,CZ:0043,6.55000
SP:0006:Vne,CZ:0044,6.55000
SP:0006:Vne,CZ:0045,6.55000
SP:0006:Vne,CZ:0046,6.55000
SP:0006:Vne,CZ:0047,6.55000
SP:0006:Vne,CZ:0048,6.55000
SP:0006:Vne,CZ:0049,6.55000
SP:0006:Vne,CZ:0050,6.55000
SP:0007:Vne,CZ:0001,3.32000
SP:0007:Vne,CZ:0002,3.32000
SP:0007:Vne,CZ:0003,3.32000
SP:0007:Vne,CZ:0004,3.32000
SP:0007:Vne,CZ:0005,3.32000
SP:0007:Vne,CZ:0006,3.32000
SP:0007:Vne,CZ:0007,3.32000
SP:0007:Vne,CZ:0008,3.32000
SP:0007:Vne,CZ:0009,3.32000
SP:0007:Vne,CZ:0010,3.32000
SP:0007:Vne,CZ:0011,3.32000
SP:0007:Vne,CZ:0012,3.32000
SP:0007:Vne,CZ:0013,3.32000
SP:0007:Vne,CZ:0014,3.32000
SP:0007:Vne,CZ:0015,3.32000
SP:0007:Vne,CZ:0016,3.32000
SP:0007:Vne,CZ:0017,3.32000
SP:0007:Vne,CZ:0018,3.32000
SP:0007:Vne,CZ:0019,3.32000
SP:0007:Vne,CZ:0020,3.32000
SP:0007:Vne,CZ:0021,3.32000
SP:0007:Vne,CZ:0022,3.32000
SP:0007:Vne,CZ:0023,3.32000
SP:0007:Vne,CZ:0024,3.32000
SP:0007:Vne,CZ:0025,3.32000
SP:0007:Vne,CZ:0026,3.32000
SP:0007:Vne,CZ:0027,3.32000
